Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
--------------------------+------------------------+--------------------------
f/IN watches/NNS that/WDT |   *T*-36/NN->-NONE-    | now/RB will/MD be/VB elig
ONE- now/RB will/MD be/VB |    eligible/NN->JJ     | for/IN duty-free/JJ treat
/NNP watch/NN imports/NNS |      that/WDT->DT      | year/NN ,/, according/VBG
                          |     Magna/NN->NNP      | International/NNP Inc./NN
ional/NNP Inc./NNP 's/POS |      chief/NN->JJ      | financial/JJ officer/NN ,
 officer/NN ,/, James/NNP |    McAlpine/NN->NNP    | ,/, resigned/JJ and/CC it
ames/NNP McAlpine/NNP ,/, |    resigned/VBD->JJ    | and/CC its/PRP$ chairman/
 its/PRP$ chairman/NN ,/, |     Frank/NN->NNP      | Stronach/NNP ,/, is/VBZ s
chairman/NN ,/, Frank/NNP |    Stronach/NN->NNP    | ,/, is/VBZ stepping/VBG i
P Stronach/NNP ,/, is/VBZ |    stepping/NN->VBG    | in/RB *-1/-NONE- to/TO he
P ,/, is/VBZ stepping/VBG |       in/IN->RB        | *-1/-NONE- to/TO help/VB 
 *-1/-NONE- to/TO help/VB |      turn/NN->VB       | the/DT automotive-parts/J
TO help/VB turn/VB the/DT | automotive-parts/NN->JJ | manufacturer/NN around/RB
-parts/JJ manufacturer/NN |     around/IN->RB      | ,/, the/DT company/NN sai
                  Mr./NNP |    Stronach/NN->NNP    | will/MD direct/VB an/DT e
/NNP Stronach/NNP will/MD |     direct/JJ->VB      | an/DT effort/NN */-NONE- 
 effort/NN */-NONE- to/TO |     reduce/NN->VB      | overhead/NN and/CC curb/V
uce/VB overhead/NN and/CC |      curb/NN->VB       | capital/NN spending/NN ``
`` until/IN a/DT more/RBR |  satisfactory/NN->JJ   | level/NN of/IN profit/NN 
NN of/IN profit/NN is/VBZ |    achieved/NN->VBN    | and/CC maintained/VBN *-1
s/VBZ achieved/VBN and/CC |   maintained/NN->VBN   | *-1/-NONE- ,/, ''/'' Magn
/VBN *-1/-NONE- ,/, ''/'' |     Magna/NN->NNP      | said/VBD 0/-NONE- *T*-2/-
              Stephen/NNP |   Akerfeldt/NN->NNP    | ,/, currently/RB vice/NN 
NN finance/NN ,/, will/MD |    succeed/VBP->VB     | Mr./NNP McAlpine/NNP ./.
ill/MD succeed/VB Mr./NNP |    McAlpine/NN->NNP    | ./.
                          |       An/NN->DT        | ambitious/JJ expansion/NN
                    An/DT |    ambitious/NN->JJ    | expansion/NN has/VBZ left
s/JJ expansion/NN has/VBZ |      left/NN->VBN      | Magna/NNP with/IN excess/
nsion/NN has/VBZ left/VBN |     Magna/NN->NNP      | with/IN excess/JJ capacit
eft/VBN Magna/NNP with/IN |     excess/NN->JJ      | capacity/NN and/CC a/DT h
t/NN load/NN as/IN the/DT |   automotive/NN->JJ    | industry/NN enters/VBZ a/
The/DT company/NN has/VBZ |   reported/VBD->VBN    | declines/NNS in/IN operat
ed/VBN declines/NNS in/IN |   operating/VBG->NN    | profit/NN in/IN each/DT o
JJ three/CD years/NNS ,/, |     despite/NN->IN     | steady/JJ sales/NNS growt
 years/NNS ,/, despite/IN |     steady/NN->JJ      | sales/NNS growth/NN ./.
                          |     Magna/NN->NNP      | recently/RB cut/VBD its/P
    Magna/NNP recently/RB |      cut/NN->VBD       | its/PRP$ quarterly/JJ div
ently/RB cut/VBD its/PRP$ |    quarterly/NN->JJ    | dividend/NN in/IN half/DT
erly/JJ dividend/NN in/IN |      half/PDT->DT      | and/CC the/DT company/NN 
 the/DT company/NN 's/POS |     Class/NN->NNP      | A/NNP shares/NNS are/VBP 
mpany/NN 's/POS Class/NNP |       A/DT->NNP        | shares/NNS are/VBP wallow
 A/NNP shares/NNS are/VBP |   wallowing/NN->VBG    | far/RB below/IN their/PRP
ar/RB below/IN their/PRP$ |     52-week/NN->JJ     | high/NN of/IN 16.125/CD C
/IN their/PRP$ 52-week/JJ |      high/JJ->NN       | of/IN 16.125/CD Canadian/
J high/NN of/IN 16.125/CD |    Canadian/NN->JJ     | dollars/NNS -LRB-/-LRB- U
/IN 16.125/CD Canadian/JJ |    dollars/NN->NNS     | -LRB-/-LRB- US$/$ 13.73/C
J dollars/NNS -LRB-/-LRB- |       US$/NN->$        | 13.73/CD *U*/-NONE- -RRB-
ange/NNP yesterday/NN ,/, |     Magna/NN->NNP      | shares/NNS closed/VBD up/
NNP shares/NNS closed/VBD |       up/RP->RB        | 37.5/CD Canadian/JJ cents
 closed/VBD up/RB 37.5/CD |    Canadian/NN->JJ     | cents/NNS to/TO C$/$ 9.62
nadian/JJ cents/NNS to/TO |        C$/NN->$        | 9.625/CD *U*/-NONE- ./.
                  Mr./NNP |    Stronach/NN->NNP    | ,/, founder/NN and/CC con
NNP ,/, founder/NN and/CC |  controlling/NN->VBG   | shareholder/NN of/IN Magn
/VBG shareholder/NN of/IN |     Magna/NN->NNP      | ,/, resigned/VBD as/IN ch
 year/NN *-1/-NONE- to/TO |      seek/NN->VB       | ,/, unsuccessfully/RB ,/,
/-NONE- to/TO seek/VB ,/, | unsuccessfully/NN->RB  | ,/, a/DT seat/NN in/IN Ca
N in/IN Canada/NNP 's/POS |   Parliament/NN->NNP   | ./.
said/VBD 0/-NONE- Mr./NNP |    Stronach/NN->NNP    | wants/VBZ *-1/-NONE- to/T
ants/VBZ *-1/-NONE- to/TO |     resume/NN->VB      | a/DT more/RBR influential
O resume/VB a/DT more/RBR |   influential/NN->JJ   | role/NN in/IN */-NONE- ru
JJ role/NN in/IN */-NONE- |    running/NN->VBG     | the/DT company/NN ./.
 expect/VBP him/PRP to/TO |       cut/NN->VB       | costs/NNS throughout/IN t
/VBP him/PRP to/TO cut/VB |     costs/VBZ->NNS     | throughout/IN the/DT orga
RP to/TO cut/VB costs/NNS |   throughout/NN->IN    | the/DT organization/NN ./
said/VBD 0/-NONE- Mr./NNP |    Stronach/NN->NNP    | will/MD personally/RB dir
/NNP Stronach/NNP will/MD |   personally/NN->RB    | direct/VB the/DT restruct
NNP will/MD personally/RB |     direct/JJ->VB      | the/DT restructuring/NN ,
cturing/NN ,/, *-1/-NONE- |    assisted/NN->VBN    | *-2/-NONE- by/IN Manfred/
sted/VBN *-2/-NONE- by/IN |    Manfred/NN->NNP     | Gingl/NNP ,/, president/N
/-NONE- by/IN Manfred/NNP |     Gingl/NN->NNP      | ,/, president/NN and/CC c
T they/PRP nor/CC Mr./NNP |    McAlpine/NN->NNP    | could/MD be/VB reached/VB
ould/MD be/VB reached/VBN |    *-38/NN->-NONE-     | for/IN comment/NN ./.
                          |     Magna/NN->NNP      | said/VBD 0/-NONE- Mr./NNP
said/VBD 0/-NONE- Mr./NNP |    McAlpine/NN->NNP    | resigned/VBD *-1/-NONE- t
/NN career/NN ,/, with/IN |     Magna/NN->NNP      | as/IN one/CD of/IN his/PR
/IN one/CD of/IN his/PRP$ |    clients/NN->NNS     | ./.
                          |      Lord/NN->NNP      | Chilver/NNP ,/, 63-year-o
                 Lord/NNP |    Chilver/NN->NNP     | ,/, 63-year-old/JJ chairm
 Lord/NNP Chilver/NNP ,/, |   63-year-old/NN->JJ   | chairman/NN of/IN English
