Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
--------------------------+------------------------+--------------------------
art/NN ,/, this/DT may/MD |    reflect/VBP->VB     | the/DT fact/NN that/IN `/
reflect/VB the/DT fact/NN |      that/WDT->IN      | `/`` she/PRP speaks/VBZ a
 speaks/VBZ a/DT more/JJR |   progressive/NN->JJ   | language/NN '/'' than/IN 
as/IN Columbia/NNP 's/POS |      Prof/NN->NNP      | ./. -LCB-/-LRB- Ethel/NNP
 Prof/NNP ./. -LCB-/-LRB- |     Ethel/NN->NNP      | -RCB-/-RRB- Klein/NNP put
RB- Ethel/NNP -RCB-/-RRB- |     Klein/NN->NNP      | puts/VBZ it/PRP ./.
NNP -RCB-/-RRB- Klein/NNP |      puts/NN->VBZ      | it/PRP ./.
                 Among/IN | professionals/NN->NNS  | ,/, 76/CD %/NN have/VBP a
 76/CD %/NN have/VBP a/DT |    favorable/NN->JJ    | opinion/NN of/IN her/PRP$
N to/TO 62/CD %/NN who/WP |   *T*-248/NN->-NONE-   | approve/VBP of/IN her/PRP
quarter/NN of/IN black/JJ |     voters/NN->NNS     | disapprove/VBP of/IN Mr./
of/IN black/JJ voters/NNS |   disapprove/NN->VBP   | of/IN Mr./NNP Bush/NNP 's
    The/DT statistics/NNS |     imply/NN->VBP      | that/IN three-quarters/NN
 statistics/NNS imply/VBP |      that/WDT->IN      | three-quarters/NNS of/IN 
ics/NNS imply/VBP that/IN | three-quarters/NN->NNS | of/IN blacks/NNS approve/
ters/NNS of/IN blacks/NNS |    approve/VB->VBP     | of/IN Mr./NNP Bush/NNP 's
/CD %/NN of/IN blacks/NNS |    approve/VB->VBP     | of/IN Mrs./NNP Bush/NNP .
 and/CC Mrs./NNP Bush/NNP |   distasteful/NN->JJ   | ,/, the/DT positive/JJ vi
JJ view/NN is/VBZ even/RB |     more/JJR->RBR      | newsworthy/JJ ./.
N is/VBZ even/RB more/RBR |   newsworthy/NN->JJ    | ./.
                          |      Such/JJ->PDT      | an/DT editorial/NN point/
